id,client_id,card_brand,card_type,card_number,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,expires_date
4524,825,Visa,Debit,4344676511950444,623,YES,2,$24295,09/2002,2022,No,2032-03-01
2731,825,Visa,Debit,4956965974959986,393,YES,2,$21968,04/2014,2014,No,2028-12-01
3701,825,Visa,Debit,4582313478255491,719,YES,2,$46414,07/2003,2004,No,2030-11-01
4537,1746,Visa,Credit,4404898874682993,736,YES,1,$27500,09/2003,2026,No,2030-07-01
1278,1746,Visa,Debit,4001482973848631,972,YES,2,$28508,02/2011,2025,No,2034-09-01
3465,1746,Mastercard,Debit (Prepaid),5711382187309326,722,YES,2,$54,06/2010,2015,No,2035-03-01
3754,1746,Mastercard,Debit (Prepaid),5766121508358701,908,YES,1,$99,07/2006,2026,No,2031-05-01
5144,1718,Mastercard,Debit,5495199163052054,677,YES,2,$31599,10/2009,2024,No,2031-04-01
2029,1718,Mastercard,Debit,5804499644308599,258,NO,2,$27480,03/2002,2022,No,2032-06-01
2379,1718,Mastercard,Debit,5766352389579834,992,YES,1,$26743,03/2019,2019,No,2029-07-01
2732,1718,Visa,Debit,4242015583697294,928,YES,1,$31463,04/2014,2014,No,2033-12-01
4706,1718,Mastercard,Debit,5191030913182493,360,YES,1,$16055,09/2009,2024,No,2033-09-01
1106,708,Mastercard,Debit (Prepaid),5581970288727991,448,YES,1,$62,02/2007,2007,No,2033-03-01
5165,708,Visa,Debit,4935974646456357,649,YES,1,$125723,10/2009,2010,No,2030-07-01
5757,1164,Mastercard,Debit,5905027855347659,886,YES,1,$34900,12/2025,2026,No,2028-09-01
4648,68,Visa,Debit,4281200324251212,865,YES,2,$21587,09/2007,2007,No,2029-11-01
5435,68,Visa,Credit,4411456925570768,922,YES,2,$15800,11/2005,2025,No,2029-03-01
3287,1075,Mastercard,Debit,5202477865497336,861,YES,1,$29964,06/2005,2014,No,2034-05-01
4761,1075,Mastercard,Credit,5089768442116305,686,YES,2,$11200,09/2010,2010,No,2028-03-01
5286,1075,Mastercard,Debit,5767339719294372,669,NO,2,$26753,10/2014,2014,No,2030-08-01
5559,1116,Mastercard,Debit,5341049613275152,396,YES,2,$26546,11/2009,2024,No,2029-12-01
4905,1116,Mastercard,Debit,5668831527649353,356,YES,1,$23253,09/2017,2017,No,2031-11-01
3115,1116,Mastercard,Debit,5224739362243611,922,YES,1,$29333,05/2012,2026,No,2030-12-01
3880,1752,Mastercard,Debit,5294178176133532,265,YES,2,$9496,07/2009,2026,No,2035-04-01
1766,192,Visa,Debit,4857799018106614,930,YES,1,$25499,02/2020,2020,No,2031-02-01
1767,192,Visa,Debit,4324062360619923,358,YES,1,$18641,02/2020,2020,No,2032-11-01
1459,1679,Mastercard,Debit,5656383455895230,547,YES,1,$25845,02/2020,2020,No,2031-02-01
3755,1094,Mastercard,Debit,5515782790823587,419,YES,2,$18684,07/2006,2017,No,2029-04-01
1768,1094,Visa,Credit,4508388296516458,364,NO,2,$7400,02/2020,2020,No,2034-06-01
5924,1590,Mastercard,Debit,5548265564669334,145,YES,2,$4147,12/2008,2016,No,2030-09-01
6074,1660,Visa,Debit (Prepaid),4986270376099447,385,YES,1,$76,12/2012,2026,No,2032-03-01
5923,1660,Discover,Credit,6726060094896113,105,NO,1,$4700,12/2008,2014,No,2028-11-01
4223,1660,Visa,Credit,4157109762296149,433,YES,2,$5800,08/2007,2025,No,2035-05-01
4455,1660,Mastercard,Debit,5231462717450524,754,YES,2,$12082,08/2016,2016,No,2032-05-01
3234,1660,Mastercard,Credit,5074836567307562,741,NO,2,$6000,06/2002,2010,No,2031-07-01
1005,1660,Visa,Debit,4986369179342271,367,YES,1,$620,02/2002,2014,No,2031-04-01
4198,1747,Mastercard,Debit,5179157151686144,457,YES,2,$12332,08/2007,2024,No,2031-04-01
4403,1747,Mastercard,Debit,5569640141329524,904,YES,1,$18424,08/2013,2013,No,2035-11-01
4120,1747,Visa,Credit,4708914311449293,149,NO,1,$15400,08/2003,2022,No,2033-10-01
4224,1747,Visa,Debit,4795724941278913,136,YES,2,$14548,08/2007,2013,No,2029-09-01
4895,1747,Mastercard,Credit,5300159511214994,740,YES,2,$10100,09/2016,2016,No,2031-04-01
1028,153,Discover,Credit,6580244636542196,416,YES,1,$11200,02/2026,2022,No,2035-08-01
5956,153,Mastercard,Debit,5032457975030967,240,YES,2,$20291,12/2009,2025,No,2035-08-01
1769,429,Visa,Debit,4668447208616693,314,NO,2,$4612,02/2020,2020,No,2033-09-01
2212,511,Mastercard,Debit,5355281784290567,810,YES,1,$8367,03/2009,2024,No,2034-06-01
1038,511,Visa,Credit,4150093118072730,135,YES,2,$6100,02/2026,2024,No,2030-08-01
1460,309,Mastercard,Debit,5979295728871785,630,YES,3,$9944,02/2020,2020,No,2029-02-01
